id,title,category,image,imageSource,usageCount,exists,width,height,sizeBytes,aspectRatio
749d8765,Festive Apple Dip,Dip/Sauce,/recipe-images/749d8765.webp,nano-banana,1,true,1200,900,,1.333
67aea76c,Feyereisen Chocolate Chip Cookies,Dessert,/recipe-images/67aea76c.webp,nano-banana,1,true,1200,900,,1.333
cd6bc17d,Mark’s Fudge,Dessert,/recipe-images/cd6bc17d.webp,nano-banana,1,true,1200,900,,1.333
003e8cbb,Quiche,Main,/recipe-images/003e8cbb.webp,nano-banana,1,true,1200,900,,1.333
79b22882,Puppy Chow,Dessert,/recipe-images/79b22882.webp,nano-banana,1,true,1200,900,,1.333
70bc617e,Hot Chicken Salad,Main,/recipe-images/70bc617e.webp,nano-banana,1,true,1200,900,,1.333
c524062b,Wild Rice Hot Dish (Robin’s),Main,/recipe-images/c524062b.webp,nano-banana,1,true,1200,900,,1.333
d2e24578,Mark’s Chow Mein,Dessert,/recipe-images/d2e24578.webp,nano-banana,1,true,1200,900,,1.333
8e09431f,Mark’s Meatloaf,Main,/recipe-images/8e09431f.webp,nano-banana,1,true,1200,900,,1.333
e753fce4,Wren’s Bagel Dip,Dip/Sauce,/recipe-images/e753fce4.webp,nano-banana,1,true,1200,900,,1.333
86a1a3fd,Wren’s Cuban Toasties,Main,/recipe-images/86a1a3fd.webp,nano-banana,1,true,1200,900,,1.333
acf08c58,Wren’s Salsa,Dip/Sauce,/recipe-images/acf08c58.webp,nano-banana,1,true,1200,900,,1.333
49cdd367,Wren’s Taco Dip,Dip/Sauce,/recipe-images/49cdd367.webp,nano-banana,1,true,1200,900,,1.333
a5f74701,Mark’s Monster Bars,Dessert,/recipe-images/a5f74701.webp,nano-banana,1,true,1200,900,,1.333
75275904,Wren’s Fruit Pizza,Main,/recipe-images/75275904.webp,nano-banana,1,true,1200,900,,1.333
8fc1d89a,Quick & Easy Fudgy Brownies,Dessert,/recipe-images/8fc1d89a.webp,nano-banana,1,true,1200,900,,1.333
7c5dae4d,Raisin Cookies,Dessert,/recipe-images/7c5dae4d.webp,nano-banana,1,true,1200,900,,1.333
5946145d,Chicken Wild Rice Soup,Main,/recipe-images/5946145d.webp,nano-banana,1,true,1200,900,,1.333
c2ed25ec,Sausage Skillet Supper,Main,/recipe-images/c2ed25ec.webp,nano-banana,1,true,1200,900,,1.333
678346ac,Savory Chicken Squares,Main,/recipe-images/678346ac.webp,nano-banana,1,true,1200,900,,1.333
8e99f38a,Stuffed Pepper Soup,Main,/recipe-images/8e99f38a.webp,nano-banana,1,true,1200,900,,1.333
60711174,Spinach Dip,Dip/Sauce,/recipe-images/60711174.webp,nano-banana,1,true,1200,900,,1.333
2de0fca2,Broccoli Salad,Side,/recipe-images/2de0fca2.webp,nano-banana,1,true,1200,900,,1.333
5f29c445,Cowboy Caviar,Main,/recipe-images/5f29c445.webp,nano-banana,1,true,1200,900,,1.333
384b6519,Pretzel Salad,Side,/recipe-images/384b6519.webp,nano-banana,1,true,1200,900,,1.333
c8e1b0cd,Biscuits & Gravy,Main,/recipe-images/c8e1b0cd.webp,nano-banana,1,true,1200,900,,1.333
1fbf34bf,Skinny Pancakes,Dessert,/recipe-images/1fbf34bf.webp,nano-banana,1,true,1200,900,,1.333
8e53f4bf,Egg Kaka,Breakfast,/recipe-images/8e53f4bf.webp,nano-banana,1,true,1200,900,,1.333
c7e4e9be,Sausage Egg & Cheese Breakfast Bake,Breakfast,/recipe-images/c7e4e9be.webp,nano-banana,1,true,1200,900,,1.333
55b909fd,Cinnamon Rolls,Main,/recipe-images/55b909fd.webp,nano-banana,1,true,1200,900,,1.333
bce43b32,Poppy Seed Bread,Bread,/recipe-images/bce43b32.webp,nano-banana,1,true,1200,900,,1.333
bf2d8657,Banana Nut Bread,Bread,/recipe-images/bf2d8657.webp,nano-banana,1,true,1200,900,,1.333
b6588372,Popovers,Main,/recipe-images/b6588372.webp,nano-banana,1,true,1200,900,,1.333
1b8c5209,Chocolate Chip Cookies,Dessert,/recipe-images/1b8c5209.webp,nano-banana,1,true,1200,900,,1.333
c81a6cb6,Congo Bars,Dessert,/recipe-images/c81a6cb6.webp,nano-banana,1,true,1200,900,,1.333
b4ded501,Monster Cookies,Dessert,/recipe-images/b4ded501.webp,nano-banana,1,true,1200,900,,1.333
7047ad41,Peanut Butter Cookies,Dessert,/recipe-images/7047ad41.webp,nano-banana,1,true,1200,900,,1.333
579b3ae1,Cranberry Cake,Dessert,/recipe-images/579b3ae1.webp,nano-banana,1,true,1200,900,,1.333
83480312,Rhubarb Crunch,Dessert,/recipe-images/83480312.webp,nano-banana,1,true,1200,900,,1.333
799ef902,Sour Cream Rhubarb Dessert,Dessert,/recipe-images/799ef902.webp,nano-banana,1,true,1200,900,,1.333
50adf1a6,Pumpkin Pie,Dessert,/recipe-images/50adf1a6.webp,nano-banana,1,true,1200,900,,1.333
a0da27e4,Barb’s Wild Rice Hotdish,Dessert,/recipe-images/a0da27e4.webp,nano-banana,1,true,1200,900,,1.333
705fa89d,Gladys Hotdish,Main,/recipe-images/705fa89d.webp,nano-banana,1,true,1200,900,,1.333
843544e5,Hearty Beef ’N’ Potato Casserole,Main,/recipe-images/843544e5.webp,nano-banana,1,true,1200,900,,1.333
d9b9c915,Tator Tot Hotdish,Main,/recipe-images/d9b9c915.webp,nano-banana,1,true,1200,900,,1.333
5b53be95,Chicken Spaghetti,Main,/recipe-images/5b53be95.webp,nano-banana,1,true,1200,900,,1.333
2f377a3a,Easy Stew,Main,/recipe-images/2f377a3a.webp,nano-banana,1,true,1200,900,,1.333
c3e7edcc,Mock Chili,Main,/recipe-images/c3e7edcc.webp,nano-banana,1,true,1200,900,,1.333
4add64a6,Jalapeño Popper Dip,Dip/Sauce,/recipe-images/4add64a6.webp,nano-banana,1,true,1200,900,,1.333
0e296c48,Pizza Dip,Dip/Sauce,/recipe-images/0e296c48.webp,nano-banana,1,true,1200,900,,1.333
bdd101ff,Shrimp Dip,Dip/Sauce,/recipe-images/bdd101ff.webp,nano-banana,1,true,1200,900,,1.333
f9beb93b,Coleslaw Dressing,Main,/recipe-images/f9beb93b.webp,nano-banana,1,true,1200,900,,1.333
706cd358,Julie Tartar Sauce,Main,/recipe-images/706cd358.webp,nano-banana,1,true,1200,900,,1.333
ea7566f3,The World’s Best Hot Fudge Sauce,Dessert,/recipe-images/ea7566f3.webp,nano-banana,1,true,1200,900,,1.333
c88f6bcd,Glaze for Cinnamon Rolls,Main,/recipe-images/c88f6bcd.webp,nano-banana,1,true,1200,900,,1.333
fa61ad49,Refrigerator Pickles,Main,/recipe-images/fa61ad49.webp,nano-banana,1,true,1200,900,,1.333
b646e546,Zucchini Jam,Main,/recipe-images/b646e546.webp,nano-banana,1,true,1200,900,,1.333
01f79bac,Glazed “Green Chunk” Pickles,Main,/recipe-images/01f79bac.webp,nano-banana,1,true,1200,900,,1.333
bab4e0e5,Crockpot Apple Butter,Main,/recipe-images/bab4e0e5.webp,nano-banana,1,true,1200,900,,1.333
25b5124a,Fish Fry (Grandma & Grandpa’s),Main,/recipe-images/25b5124a.webp,nano-banana,1,true,1200,900,,1.333
20c2a4c8,Mustard Marinated Steak,Main,/recipe-images/20c2a4c8.webp,nano-banana,1,true,1200,900,,1.333
dbe839bf,Soy Chicken Wings,Main,/recipe-images/dbe839bf.webp,nano-banana,1,true,1200,900,,1.333
c353e0f4,Orange Jello,Main,/recipe-images/c353e0f4.webp,nano-banana,1,true,1200,900,,1.333
bb939894,Jello Salad,Side,/recipe-images/bb939894.webp,nano-banana,1,true,1200,900,,1.333
5fe1c301,Winter Salad,Side,/recipe-images/5fe1c301.webp,nano-banana,1,true,1200,900,,1.333
6e39a079,Chocolate Martini,Main,/recipe-images/6e39a079.webp,nano-banana,1,true,1200,900,,1.333
c0f94ecb,White Russian Pudding Shots,Main,/recipe-images/c0f94ecb.webp,nano-banana,1,true,1200,900,,1.333
